"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","3045  ","台灣大          ","1,685,000","996,282","688,718","0","0","0","1,685,000","996,282","688,718",
" ","3653  ","健策            ","816,000","170,094","645,906","0","0","0","816,000","170,094","645,906",
" ","1608  ","華榮            ","1,205,000","563,000","642,000","0","0","0","1,205,000","563,000","642,000",
" ","2542  ","興富發          ","856,076","217,000","639,076","0","0","0","856,076","217,000","639,076",
" ","3027  ","盛達            ","2,782,000","2,152,463","629,537","0","0","0","2,782,000","2,152,463","629,537",
" ","4977  ","眾達-KY         ","988,000","364,000","624,000","0","0","0","988,000","364,000","624,000",
" ","6672  ","騰輝電子-KY     ","737,000","124,000","613,000","0","0","0","737,000","124,000","613,000",
" ","2462  ","良得電          ","2,079,000","1,477,000","602,000","0","0","0","2,079,000","1,477,000","602,000",
" ","1786  ","科妍            ","1,018,000","417,000","601,000","0","0","0","1,018,000","417,000","601,000",
" ",="00830 ","國泰費城半導體  ","909,125","328,000","581,125","0","0","0","909,125","328,000","581,125",
" ","4532  ","瑞智            ","666,000","95,000","571,000","0","0","0","666,000","95,000","571,000",
" ","8271  ","宇瞻            ","1,038,000","469,000","569,000","0","0","0","1,038,000","469,000","569,000",
" ","8105  ","凌巨            ","1,127,000","569,000","558,000","0","0","0","1,127,000","569,000","558,000",
" ","2385  ","群光            ","1,712,000","1,156,547","555,453","0","0","0","1,712,000","1,156,547","555,453",
" ","3576  ","聯合再生        ","1,555,000","1,001,000","554,000","0","0","0","1,555,000","1,001,000","554,000",
" ","1307  ","三芳            ","615,000","71,000","544,000","0","0","0","615,000","71,000","544,000",
" ","8996  ","高力            ","961,000","425,000","536,000","0","0","0","961,000","425,000","536,000",
" ","3596  ","智易            ","2,067,000","1,536,379","530,621","0","0","0","2,067,000","1,536,379","530,621",
" ",="00713 ","元大台灣高息低波","830,245","322,700","507,545","0","0","0","830,245","322,700","507,545",
" ","1752  ","南光            ","1,064,000","563,000","501,000","0","0","0","1,064,000","563,000","501,000",
" ","3189  ","景碩            ","1,006,000","506,000","500,000","0","0","0","1,006,000","506,000","500,000",
" ","3518  ","柏騰            ","810,000","317,000","493,000","0","0","0","810,000","317,000","493,000",
" ",="044000","華通法興2B購01  ","945,000","455,000","490,000","0","0","0","945,000","455,000","490,000",
