"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","4722  ","國精化          ","8,000","3,000","5,000","0","0","0","8,000","3,000","5,000",
" ","5203  ","訊連            ","26,000","21,000","5,000","0","0","0","26,000","21,000","5,000",
" ","6281  ","全國電          ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","6792  ","詠業            ","6,000","1,000","5,000","0","0","0","6,000","1,000","5,000",
" ",="00646 ","元大S&P500      ","4,002","0","4,002","0","0","0","4,002","0","4,002",
" ",="04728U","裕民統一2A售01  ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","1453  ","大將            ","23,000","19,000","4,000","0","0","0","23,000","19,000","4,000",
" ","2355  ","敬鵬            ","145,000","141,000","4,000","0","0","0","145,000","141,000","4,000",
" ","2527  ","宏璟            ","8,000","4,000","4,000","0","0","0","8,000","4,000","4,000",
" ","8104  ","錸寶            ","29,000","25,000","4,000","0","0","0","29,000","25,000","4,000",
" ","9905  ","大華            ","7,000","3,000","4,000","0","0","0","7,000","3,000","4,000",
" ","2465  ","麗臺            ","19,000","15,700","3,300","0","0","0","19,000","15,700","3,300",
" ",="00708L","期元大S&P黃金正2","51,000","48,000","3,000","0","0","0","51,000","48,000","3,000",
" ",="041275","台積電元大2B購20","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="041681","華航法興2A購01  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="045434","矽創凱基2B購02  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","1459  ","聯發            ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","1597  ","直得            ","6,000","3,000","3,000","0","0","0","6,000","3,000","3,000",
" ","2008  ","高興昌          ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","2364  ","倫飛            ","9,000","6,000","3,000","0","0","0","9,000","6,000","3,000",
" ","2433  ","互盛電          ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","2491  ","吉祥全          ","6,000","3,000","3,000","0","0","0","6,000","3,000","3,000",
" ","2887E ","台新戊特        ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","3040  ","遠見            ","4,000","1,000","3,000","0","0","0","4,000","1,000","3,000",
" ","3437  ","榮創            ","22,000","19,000","3,000","0","0","0","22,000","19,000","3,000",
" ","3543  ","州巧            ","7,000","4,000","3,000","0","0","0","7,000","4,000","3,000",
" ","4540  ","全球傳動        ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","8499  ","鼎炫-KY         ","5,000","2,000","3,000","0","0","0","5,000","2,000","3,000",
" ",="00661 ","元大日經225     ","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000",
" ",="00861 ","元大全球未來通訊","5,000","3,000","2,000","0","0","0","5,000","3,000","2,000",
" ",="049322","中興電統一36購01","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ",="06218U","八方凱基2C售01  ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","1414  ","東和            ","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000",
" ","1463  ","強盛            ","4,000","2,000","2,000","0","0","0","4,000","2,000","2,000",
" ","1702  ","南僑            ","61,000","59,000","2,000","0","0","0","61,000","59,000","2,000",
" ","1713  ","國化            ","13,000","11,000","2,000","0","0","0","13,000","11,000","2,000",
" ","1730  ","花仙子          ","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000",
" ","2024  ","志聯            ","4,000","2,000","2,000","0","0","0","4,000","2,000","2,000",
" ","2227  ","裕日車          ","7,000","5,000","2,000","0","0","0","7,000","5,000","2,000",
" ","2459  ","敦吉            ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","2496  ","卓越            ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","2939  ","凱羿-KY         ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","3094  ","聯傑            ","110,000","108,000","2,000","0","0","0","110,000","108,000","2,000",
" ","4560  ","強信-KY         ","18,000","16,000","2,000","0","0","0","18,000","16,000","2,000",
" ","5907  ","大洋-KY         ","14,000","12,000","2,000","0","0","0","14,000","12,000","2,000",
" ","6141  ","柏承            ","4,000","2,000","2,000","0","0","0","4,000","2,000","2,000",
" ","6671  ","三能-KY         ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","6873  ","泓德能源-創     ","4,000","2,000","2,000","0","0","0","4,000","2,000","2,000",
" ","8481  ","政伸            ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","9937  ","全國            ","9,000","7,000","2,000","0","0","0","9,000","7,000","2,000",
" ",="00675L","富邦臺灣加權正2 ","38,000","37,000","1,000","0","0","0","38,000","37,000","1,000",
" ",="00711B","復華彭博新興債  ","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000",
" ",="00714 ","群益道瓊美國地產","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="00927 ","群益半導體收益  ","213,000","212,000","1,000","0","0","0","213,000","212,000","1,000",
" ",="020030","統一智慧電動車N ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="032554","啟碁元大29購02  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="042204","臺股指法興2A購05","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000",
" ",="042271","凌陽凱基2A購01  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="046358","創意元大2B購17  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="07433U","慧洋元大2C售01  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1413  ","宏洲            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1474  ","弘裕            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1535  ","中宇            ","9,000","8,000","1,000","0","0","0","9,000","8,000","1,000",
" ","1541  ","錩泰            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1617  ","榮星            ","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000",
" ","1776  ","展宇            ","6,000","5,000","1,000","0","0","0","6,000","5,000","1,000",
" ","2013  ","中鋼構          ","13,000","12,000","1,000","0","0","0","13,000","12,000","1,000",
" ","2414  ","精技            ","4,000","3,000","1,000","0","0","0","4,000","3,000","1,000",
" ","2429  ","銘旺科          ","4,000","3,000","1,000","0","0","0","4,000","3,000","1,000",
" ","2901  ","欣欣            ","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000",
" ","4426  ","利勤            ","6,000","5,000","1,000","0","0","0","6,000","5,000","1,000",
" ","4583  ","台灣精銳        ","5,000","4,000","1,000","0","0","0","5,000","4,000","1,000",
" ","5538  ","東明-KY         ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","5546  ","永固-KY         ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","6552  ","易華電          ","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000",
" ","6834  ","天二科技        ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","2911  ","麗嬰房          ","1,000","136","864","0","0","0","1,000","136","864",
"*","1605  ","華新            ","12,223,010","45,402,000","-33,178,990","0","0","0","12,223,010","45,402,000","-33,178,990",
" ","2303  ","聯電            ","10,846,898","30,624,398","-19,777,500","0","0","0","10,846,898","30,624,398","-19,777,500",
" ","3481  ","群創            ","13,242,000","32,572,985","-19,330,985","0","0","0","13,242,000","32,572,985","-19,330,985",
"*","2603  ","長榮            ","9,536,568","27,968,128","-18,431,560","0","0","0","9,536,568","27,968,128","-18,431,560",
" ","2618  ","長榮航          ","28,119,048","41,471,506","-13,352,458","0","0","0","28,119,048","41,471,506","-13,352,458",
" ","2888  ","新光金          ","8,988,000","21,116,000","-12,128,000","0","0","0","8,988,000","21,116,000","-12,128,000",
" ","2317  ","鴻海            ","7,242,534","19,059,866","-11,817,332","0","0","0","7,242,534","19,059,866","-11,817,332",
" ","2409  ","友達            ","7,897,000","18,304,630","-10,407,630","0","0","0","7,897,000","18,304,630","-10,407,630",
" ","3005  ","神基            ","1,760,000","8,646,000","-6,886,000","0","0","0","1,760,000","8,646,000","-6,886,000",
" ","2882  ","國泰金          ","4,670,200","11,344,794","-6,674,594","0","0","0","4,670,200","11,344,794","-6,674,594",
" ","2883B ","開發金乙特      ","151,679","6,552,635","-6,400,956","0","0","0","151,679","6,552,635","-6,400,956",
" ","2609  ","陽明            ","2,742,430","8,773,704","-6,031,274","0","0","0","2,742,430","8,773,704","-6,031,274",
" ",="00922 ","國泰台灣領袖50  ","121,000","5,903,000","-5,782,000","0","0","0","121,000","5,903,000","-5,782,000",
" ","4746  ","台耀            ","2,603,050","8,080,000","-5,476,950","0","0","0","2,603,050","8,080,000","-5,476,950",
"*","3711  ","日月光投控      ","8,555,608","13,826,512","-5,270,904","0","0","0","8,555,608","13,826,512","-5,270,904",
" ",="048420","長榮法興2C購01  ","0","5,000,000","-5,000,000","0","0","0","0","5,000,000","-5,000,000",
" ",="046683","長榮法興2B購01  ","0","4,791,000","-4,791,000","0","0","0","0","4,791,000","-4,791,000",
" ","1528  ","恩德            ","2,009,000","6,684,000","-4,675,000","0","0","0","2,009,000","6,684,000","-4,675,000",
" ",="040645","長榮法興2A購01  ","0","4,645,000","-4,645,000","0","0","0","0","4,645,000","-4,645,000",
" ","4414  ","如興            ","146,000","4,719,000","-4,573,000","0","0","0","146,000","4,719,000","-4,573,000",
" ","2883  ","開發金          ","5,561,539","9,848,999","-4,287,460","0","0","0","5,561,539","9,848,999","-4,287,460",
" ","4967  ","十銓            ","2,325,000","6,367,000","-4,042,000","0","0","0","2,325,000","6,367,000","-4,042,000",
" ","1303  ","南亞            ","2,842,417","6,881,000","-4,038,583","0","0","0","2,842,417","6,881,000","-4,038,583",
" ","2323  ","中環            ","4,121,000","8,153,000","-4,032,000","0","0","0","4,121,000","8,153,000","-4,032,000",
" ","4938  ","和碩            ","2,848,000","6,674,224","-3,826,224","0","0","0","2,848,000","6,674,224","-3,826,224",
" ","2884  ","玉山金          ","6,764,389","10,582,000","-3,817,611","0","0","0","6,764,389","10,582,000","-3,817,611",
" ","1301  ","台塑            ","2,766,708","6,580,463","-3,813,755","0","0","0","2,766,708","6,580,463","-3,813,755",
" ",="00885 ","富邦越南        ","237,007","3,865,000","-3,627,993","0","0","0","237,007","3,865,000","-3,627,993",
" ","2881  ","富邦金          ","6,016,332","8,584,000","-2,567,668","0","0","0","6,016,332","8,584,000","-2,567,668",
" ",="00665L","富邦恒生國企正2 ","837,000","3,395,000","-2,558,000","0","0","0","837,000","3,395,000","-2,558,000",
" ","2313  ","華通            ","2,286,000","4,757,000","-2,471,000","0","0","0","2,286,000","4,757,000","-2,471,000",
" ","2301  ","光寶科          ","4,336,000","6,728,223","-2,392,223","0","0","0","4,336,000","6,728,223","-2,392,223",
" ","2887  ","台新金          ","5,966,300","8,280,000","-2,313,700","0","0","0","5,966,300","8,280,000","-2,313,700",
" ","2615  ","萬海            ","1,201,451","3,413,884","-2,212,433","0","0","0","1,201,451","3,413,884","-2,212,433",
" ","9904  ","寶成            ","1,753,000","3,948,000","-2,195,000","0","0","0","1,753,000","3,948,000","-2,195,000",
" ","2891  ","中信金          ","9,125,914","11,274,000","-2,148,086","0","0","0","9,125,914","11,274,000","-2,148,086",
" ","6191  ","精成科          ","1,680,000","3,748,000","-2,068,000","0","0","0","1,680,000","3,748,000","-2,068,000",
" ","8112  ","至上            ","647,000","2,586,050","-1,939,050","0","0","0","647,000","2,586,050","-1,939,050",
" ","2002  ","中鋼            ","9,845,431","11,746,582","-1,901,151","0","0","0","9,845,431","11,746,582","-1,901,151",
" ","2201  ","裕隆            ","605,000","2,447,000","-1,842,000","0","0","0","605,000","2,447,000","-1,842,000",
" ","2204  ","中華            ","973,000","2,762,000","-1,789,000","0","0","0","973,000","2,762,000","-1,789,000",
" ","1802  ","台玻            ","4,247,000","6,002,000","-1,755,000","0","0","0","4,247,000","6,002,000","-1,755,000",
" ","4958  ","臻鼎-KY         ","901,509","2,559,535","-1,658,026","0","0","0","901,509","2,559,535","-1,658,026",
" ","2340  ","台亞            ","2,306,000","3,782,959","-1,476,959","0","0","0","2,306,000","3,782,959","-1,476,959",
" ",="0050  ","元大台灣50      ","757,800","2,147,395","-1,389,595","0","0","0","757,800","2,147,395","-1,389,595",
" ",="00902 ","中信電池及儲能  ","0","1,363,000","-1,363,000","0","0","0","0","1,363,000","-1,363,000",
"*","2308  ","台達電          ","2,989,245","4,347,622","-1,358,377","0","0","0","2,989,245","4,347,622","-1,358,377",
" ","2892  ","第一金          ","5,216,000","6,517,969","-1,301,969","0","0","0","5,216,000","6,517,969","-1,301,969",
" ",="00753L","中信中國50正2   ","925,000","2,184,000","-1,259,000","0","0","0","925,000","2,184,000","-1,259,000",
" ","2014  ","中鴻            ","438,000","1,661,038","-1,223,038","0","0","0","438,000","1,661,038","-1,223,038",
" ","4968  ","立積            ","1,146,000","2,285,000","-1,139,000","0","0","0","1,146,000","2,285,000","-1,139,000",
" ",="042547","長榮法興2A購02  ","0","1,109,000","-1,109,000","0","0","0","0","1,109,000","-1,109,000",
" ","4904  ","遠傳            ","5,019,000","6,125,426","-1,106,426","0","0","0","5,019,000","6,125,426","-1,106,426",
" ","6005  ","群益證          ","764,000","1,864,000","-1,100,000","0","0","0","764,000","1,864,000","-1,100,000",
" ","2211  ","長榮鋼          ","1,658,000","2,721,000","-1,063,000","0","0","0","1,658,000","2,721,000","-1,063,000",
" ","1477  ","聚陽            ","1,994,020","3,056,000","-1,061,980","0","0","0","1,994,020","3,056,000","-1,061,980",
" ","2498  ","宏達電          ","1,639,000","2,695,099","-1,056,099","0","0","0","1,639,000","2,695,099","-1,056,099",
" ",="00882 ","中信中國高股息  ","358,360","1,409,000","-1,050,640","0","0","0","358,360","1,409,000","-1,050,640",
" ","2633  ","台灣高鐵        ","1,091,327","2,140,000","-1,048,673","0","0","0","1,091,327","2,140,000","-1,048,673",
" ",="043059","貿聯法興2A購01  ","345,000","1,372,000","-1,027,000","0","0","0","345,000","1,372,000","-1,027,000",
" ","2606  ","裕民            ","874,500","1,899,000","-1,024,500","0","0","0","874,500","1,899,000","-1,024,500",
" ","1314  ","中石化          ","567,000","1,572,000","-1,005,000","0","0","0","567,000","1,572,000","-1,005,000",
" ","2347  ","聯強            ","907,553","1,851,794","-944,241","0","0","0","907,553","1,851,794","-944,241",
"*","2330  ","台積電          ","12,245,719","13,160,257","-914,538","0","0","0","12,245,719","13,160,257","-914,538",
" ","5876  ","上海商銀        ","1,368,500","2,280,000","-911,500","0","0","0","1,368,500","2,280,000","-911,500",
" ","3703  ","欣陸            ","558,000","1,463,000","-905,000","0","0","0","558,000","1,463,000","-905,000",
" ","8215  ","明基材          ","538,000","1,435,000","-897,000","0","0","0","538,000","1,435,000","-897,000",
" ","2834  ","臺企銀          ","3,472,177","4,367,000","-894,823","0","0","0","3,472,177","4,367,000","-894,823",
" ",="037099","智原法興2A購01  ","0","824,000","-824,000","0","0","0","0","824,000","-824,000",
" ",="00632R","元大台灣50反1   ","499,000","1,310,000","-811,000","0","0","0","499,000","1,310,000","-811,000",
" ","8046  ","南電            ","834,277","1,618,956","-784,679","0","0","0","834,277","1,618,956","-784,679",
" ","1326  ","台化            ","1,542,000","2,291,424","-749,424","0","0","0","1,542,000","2,291,424","-749,424",
" ",="00637L","元大滬深300正2  ","3,660,000","4,374,000","-714,000","0","0","0","3,660,000","4,374,000","-714,000",
" ","2634  ","漢翔            ","2,333,000","3,037,000","-704,000","0","0","0","2,333,000","3,037,000","-704,000",
" ",="041683","智原法興2A購02  ","0","696,000","-696,000","0","0","0","0","696,000","-696,000",
" ","2630  ","亞航            ","812,100","1,504,000","-691,900","0","0","0","812,100","1,504,000","-691,900",
" ","3044  ","健鼎            ","379,250","1,061,000","-681,750","0","0","0","379,250","1,061,000","-681,750",
" ","5880  ","合庫金          ","4,798,374","5,476,000","-677,626","0","0","0","4,798,374","5,476,000","-677,626",
" ","6197  ","佳必琪          ","832,720","1,495,000","-662,280","0","0","0","832,720","1,495,000","-662,280",
" ","1471  ","首利            ","32,000","692,000","-660,000","0","0","0","32,000","692,000","-660,000",
" ","1101  ","台泥            ","3,659,650","4,311,000","-651,350","0","0","0","3,659,650","4,311,000","-651,350",
" ","2457  ","飛宏            ","1,110,020","1,748,000","-637,980","0","0","0","1,110,020","1,748,000","-637,980",
" ","6282  ","康舒            ","1,338,226","1,960,000","-621,774","0","0","0","1,338,226","1,960,000","-621,774",
" ","3665  ","貿聯-KY         ","1,968,429","2,586,220","-617,791","0","0","0","1,968,429","2,586,220","-617,791",
"*","1795  ","美時            ","4,236,000","4,834,000","-598,000","0","0","0","4,236,000","4,834,000","-598,000",
" ",="00633L","富邦上証正2     ","665,000","1,261,000","-596,000","0","0","0","665,000","1,261,000","-596,000",
" ","2329  ","華泰            ","981,000","1,577,000","-596,000","0","0","0","981,000","1,577,000","-596,000",
" ","2605  ","新興            ","146,000","734,000","-588,000","0","0","0","146,000","734,000","-588,000",
" ","1216  ","統一            ","3,669,010","4,242,744","-573,734","0","0","0","3,669,010","4,242,744","-573,734",
" ",="048421","長榮航法興2C購02","541,000","1,108,000","-567,000","0","0","0","541,000","1,108,000","-567,000",
" ","8210  ","勤誠            ","2,314,000","2,873,000","-559,000","0","0","0","2,314,000","2,873,000","-559,000",
" ","2367  ","燿華            ","142,000","690,000","-548,000","0","0","0","142,000","690,000","-548,000",
" ","3056  ","總太            ","209,000","737,000","-528,000","0","0","0","209,000","737,000","-528,000",
" ","6142  ","友勁            ","665,000","1,163,000","-498,000","0","0","0","665,000","1,163,000","-498,000",
" ",="00900 ","富邦特選高股息30","90,000","578,000","-488,000","0","0","0","90,000","578,000","-488,000",
" ","2010  ","春源            ","582,234","1,066,000","-483,766","0","0","0","582,234","1,066,000","-483,766",
" ","3515  ","華擎            ","1,288,000","1,755,023","-467,023","0","0","0","1,288,000","1,755,023","-467,023",
" ",="006205","富邦上証        ","14,000","476,000","-462,000","0","0","0","14,000","476,000","-462,000",
" ","1522  ","堤維西          ","1,274,810","1,730,000","-455,190","0","0","0","1,274,810","1,730,000","-455,190",
" ",="00912 ","中信臺灣智慧50  ","138,000","593,000","-455,000","0","0","0","138,000","593,000","-455,000",
" ","4915  ","致伸            ","3,185,000","3,625,000","-440,000","0","0","0","3,185,000","3,625,000","-440,000",
" ","2601  ","益航            ","41,000","480,000","-439,000","0","0","0","41,000","480,000","-439,000",
" ","2913  ","農林            ","1,180,000","1,615,000","-435,000","0","0","0","1,180,000","1,615,000","-435,000",
" ",="047233","富邦金法興2C購01","0","424,000","-424,000","0","0","0","0","424,000","-424,000",
" ","2357  ","華碩            ","1,737,528","2,157,900","-420,372","0","0","0","1,737,528","2,157,900","-420,372",
" ",="00919 ","群益台灣精選高息","141,200","561,000","-419,800","0","0","0","141,200","561,000","-419,800",
" ","1717  ","長興            ","334,000","752,000","-418,000","0","0","0","334,000","752,000","-418,000",
" ",="046679","華邦電法興2B購03","90,000","494,000","-404,000","0","0","0","90,000","494,000","-404,000",
" ","9919  ","康那香          ","253,000","656,000","-403,000","0","0","0","253,000","656,000","-403,000",
" ",="040650","啟碁法興2A購01  ","224,000","626,000","-402,000","0","0","0","224,000","626,000","-402,000",
" ","2427  ","三商電          ","1,073,000","1,471,000","-398,000","0","0","0","1,073,000","1,471,000","-398,000",
" ","9910  ","豐泰            ","886,000","1,284,000","-398,000","0","0","0","886,000","1,284,000","-398,000",
" ","3042  ","晶技            ","433,000","819,000","-386,000","0","0","0","433,000","819,000","-386,000",
" ","5531  ","鄉林            ","148,000","530,000","-382,000","0","0","0","148,000","530,000","-382,000",
" ",="00923 ","群益台灣ESG低碳 ","23,000","403,000","-380,000","0","0","0","23,000","403,000","-380,000",
" ",="00903 ","富邦元宇宙      ","17,000","396,000","-379,000","0","0","0","17,000","396,000","-379,000",
" ",="006208","富邦台50        ","36,925","406,000","-369,075","0","0","0","36,925","406,000","-369,075",
" ","2404  ","漢唐            ","103,000","458,000","-355,000","0","0","0","103,000","458,000","-355,000",
" ",="00892 ","富邦台灣半導體  ","61,000","400,100","-339,100","0","0","0","61,000","400,100","-339,100",
" ","2103  ","台橡            ","155,000","489,000","-334,000","0","0","0","155,000","489,000","-334,000",
" ","2436  ","偉詮電          ","122,000","451,000","-329,000","0","0","0","122,000","451,000","-329,000",
" ","2915  ","潤泰全          ","551,000","879,520","-328,520","0","0","0","551,000","879,520","-328,520",
" ","3447  ","展達            ","883,000","1,211,000","-328,000","0","0","0","883,000","1,211,000","-328,000",
" ","1434  ","福懋            ","409,000","731,000","-322,000","0","0","0","409,000","731,000","-322,000",
" ","6024  ","群益期          ","17,000","339,000","-322,000","0","0","0","17,000","339,000","-322,000",
" ","2345  ","智邦            ","1,188,087","1,509,033","-320,946","0","0","0","1,188,087","1,509,033","-320,946",
" ",="00905 ","FT臺灣Smart     ","138,000","456,000","-318,000","0","0","0","138,000","456,000","-318,000",
" ","2530  ","華建            ","27,000","337,000","-310,000","0","0","0","27,000","337,000","-310,000",
"*","5871  ","中租-KY         ","2,148,000","2,457,032","-309,032","0","0","0","2,148,000","2,457,032","-309,032",
" ",="041680","南亞科法興2A購01","0","308,000","-308,000","0","0","0","0","308,000","-308,000",
" ","1444  ","力麗            ","592,000","899,000","-307,000","0","0","0","592,000","899,000","-307,000",
" ","3706  ","神達            ","2,701,000","3,001,200","-300,200","0","0","0","2,701,000","3,001,200","-300,200",
" ","6505  ","台塑化          ","647,000","944,000","-297,000","0","0","0","647,000","944,000","-297,000",
" ","8163  ","達方            ","94,000","389,000","-295,000","0","0","0","94,000","389,000","-295,000",
" ","1907  ","永豐餘          ","4,392,000","4,683,000","-291,000","0","0","0","4,392,000","4,683,000","-291,000",
" ","2419  ","仲琦            ","9,738,250","10,028,000","-289,750","0","0","0","9,738,250","10,028,000","-289,750",
" ","2027  ","大成鋼          ","996,000","1,281,000","-285,000","0","0","0","996,000","1,281,000","-285,000",
" ","2912  ","統一超          ","469,298","747,205","-277,907","0","0","0","469,298","747,205","-277,907",
" ","3035  ","智原            ","5,496,001","5,764,204","-268,203","0","0","0","5,496,001","5,764,204","-268,203",
" ","4526  ","東台            ","945,000","1,209,500","-264,500","0","0","0","945,000","1,209,500","-264,500",
" ",="035994","智原法興28購01  ","0","264,000","-264,000","0","0","0","0","264,000","-264,000",
" ","2327  ","國巨            ","609,152","871,281","-262,129","0","0","0","609,152","871,281","-262,129",
"*","2408  ","南亞科          ","6,616,327","6,872,600","-256,273","0","0","0","6,616,327","6,872,600","-256,273",
" ","2851  ","中再保          ","66,000","320,000","-254,000","0","0","0","66,000","320,000","-254,000",
" ","4916  ","事欣科          ","1,098,000","1,347,942","-249,942","0","0","0","1,098,000","1,347,942","-249,942",
" ","5222  ","全訊            ","96,000","337,000","-241,000","0","0","0","96,000","337,000","-241,000",
" ","6271  ","同欣電          ","219,000","460,000","-241,000","0","0","0","219,000","460,000","-241,000",
" ","3017  ","奇鋐            ","2,114,000","2,354,746","-240,746","0","0","0","2,114,000","2,354,746","-240,746",
" ",="044680","富邦金法興2B購01","0","237,000","-237,000","0","0","0","0","237,000","-237,000",
" ","1722  ","台肥            ","360,000","597,000","-237,000","0","0","0","360,000","597,000","-237,000",
" ","3149  ","正達            ","32,000","269,000","-237,000","0","0","0","32,000","269,000","-237,000",
" ",="045197","富邦金法興2B購02","66,000","296,000","-230,000","0","0","0","66,000","296,000","-230,000",
" ","3051  ","力特            ","66,000","296,000","-230,000","0","0","0","66,000","296,000","-230,000",
" ",="040646","富邦金法興2A購01","60,000","286,000","-226,000","0","0","0","60,000","286,000","-226,000",
" ",="043051","南亞科法興2A購02","0","224,000","-224,000","0","0","0","0","224,000","-224,000",
" ","2362  ","藍天            ","120,000","344,000","-224,000","0","0","0","120,000","344,000","-224,000",
" ","2636  ","台驊投控        ","97,000","321,000","-224,000","0","0","0","97,000","321,000","-224,000",
" ","8926  ","台汽電          ","410,000","634,000","-224,000","0","0","0","410,000","634,000","-224,000",
" ",="045530","景碩法興2B購01  ","156,000","376,000","-220,000","0","0","0","156,000","376,000","-220,000",
" ",="045526","南亞科法興2B購01","0","219,000","-219,000","0","0","0","0","219,000","-219,000",
" ","6269  ","台郡            ","155,000","373,000","-218,000","0","0","0","155,000","373,000","-218,000",
" ","3028  ","增你強          ","19,000","235,000","-216,000","0","0","0","19,000","235,000","-216,000",
" ","9907  ","統一實          ","794,000","1,010,000","-216,000","0","0","0","794,000","1,010,000","-216,000",
" ","1215  ","卜蜂            ","53,030","268,000","-214,970","0","0","0","53,030","268,000","-214,970",
" ","6176  ","瑞儀            ","2,066,250","2,280,000","-213,750","0","0","0","2,066,250","2,280,000","-213,750",
" ",="048770","南亞科法興2C購01","4,000","216,000","-212,000","0","0","0","4,000","216,000","-212,000",
" ","2707  ","晶華            ","181,000","392,000","-211,000","0","0","0","181,000","392,000","-211,000",
" ",="00850 ","元大臺灣ESG永續 ","28,129","239,000","-210,871","0","0","0","28,129","239,000","-210,871",
" ","2748  ","雲品            ","692,000","901,000","-209,000","0","0","0","692,000","901,000","-209,000",
" ","9914  ","美利達          ","415,000","621,000","-206,000","0","0","0","415,000","621,000","-206,000",
" ","3532  ","台勝科          ","159,000","364,000","-205,000","0","0","0","159,000","364,000","-205,000",
" ","3682  ","亞太電          ","56,000","258,000","-202,000","0","0","0","56,000","258,000","-202,000",
" ",="036157","愛普法興28購01  ","0","199,000","-199,000","0","0","0","0","199,000","-199,000",
" ","2545  ","皇翔            ","41,000","235,000","-194,000","0","0","0","41,000","235,000","-194,000",
" ","3022  ","威強電          ","451,000","639,000","-188,000","0","0","0","451,000","639,000","-188,000",
" ",="041679","華邦電法興2A購01","95,000","280,000","-185,000","0","0","0","95,000","280,000","-185,000",
" ",="038479","鴻海法興29購01  ","103,000","287,000","-184,000","0","0","0","103,000","287,000","-184,000",
" ","4994  ","傳奇            ","119,000","303,000","-184,000","0","0","0","119,000","303,000","-184,000",
" ",="00728 ","第一金工業30    ","32,000","215,000","-183,000","0","0","0","32,000","215,000","-183,000",
" ","2049  ","上銀            ","458,000","640,000","-182,000","0","0","0","458,000","640,000","-182,000",
" ","9802  ","鈺齊-KY         ","338,000","519,020","-181,020","0","0","0","338,000","519,020","-181,020",
" ","3038  ","全台            ","1,730,000","1,906,000","-176,000","0","0","0","1,730,000","1,906,000","-176,000",
" ",="048417","華邦電法興2C購01","104,000","277,000","-173,000","0","0","0","104,000","277,000","-173,000",
" ","2328  ","廣宇            ","202,000","374,000","-172,000","0","0","0","202,000","374,000","-172,000",
" ","2637  ","慧洋-KY         ","1,431,250","1,602,542","-171,292","0","0","0","1,431,250","1,602,542","-171,292",
" ","6133  ","金橋            ","98,000","266,000","-168,000","0","0","0","98,000","266,000","-168,000",
" ","2354  ","鴻準            ","1,163,000","1,330,220","-167,220","0","0","0","1,163,000","1,330,220","-167,220",
" ","8131  ","福懋科          ","36,000","203,000","-167,000","0","0","0","36,000","203,000","-167,000",
" ",="037095","友達法興28購02  ","0","166,000","-166,000","0","0","0","0","166,000","-166,000",
" ",="038484","中磊法興29購01  ","84,000","250,000","-166,000","0","0","0","84,000","250,000","-166,000",
" ","1515  ","力山            ","291,000","457,000","-166,000","0","0","0","291,000","457,000","-166,000",
" ","4306  ","炎洲            ","14,000","180,000","-166,000","0","0","0","14,000","180,000","-166,000",
" ","6719  ","力智            ","139,000","303,100","-164,100","0","0","0","139,000","303,100","-164,100",
" ",="048510","鴻海法興2C購04  ","0","163,000","-163,000","0","0","0","0","163,000","-163,000",
